kanji	JLPT	grade	example1	other examples
円	5	1	丸い/円い|まるい|round; circular|5	['楕円|だえん|ellipse|2', '円い|まるい|round; circular; spherical|2']
七	5	1	七日|なのか|seven days; the seventh day|5	['七|しち / なな|seven|5', '七|なな|seven|3']
水	5	1	水|みず|water|5	['水道|すいどう |water supply|4', '水泳|すいえい |swimming|4']
立	5	1	立つ|たつ|to stand|5	['役に立つ|やくにたつ |to be helpful|4', '独立|どくりつ|independence (e.g. Ind. Day); self-support|3']
白	5	1	白い|しろい|white|5	['真っ白|まっしろ|pure white|2', '青白い|あおじろい|pale; pallid|2']
車	5	1	電車|でんしゃ|electric train|5	['自転車|じてんしゃ|bicycle|5', '車|くるま|car; vehicle|5']
気	5	1	電気|でんき|electricity; electric light|5	['病気|びょうき|illness|5', '元気|げんき|health; vitality|5']
足	5	1	足|あし|foot; leg|5	['足りる|たりる |to be enough|4', '満足|まんぞく|satisfaction|3']
川	5	1	川/河|かわ|river|5	['河川|かせん|rivers|1']
日	5	1	日曜日|にちようび|Sunday|5	['七日|なのか|seven days; the seventh day|5', '二十日|はつか|twenty days; twentieth|5']
学	5	1	大学|だいがく|university|5	['学校|がっこう|school|5', '学生|がくせい|student|5']
左	5	1	左|ひだり|left hand side|5	['左利き|ひだりきき|left-handedness; sake drinker; left-hander|1', '左程|さほど|(not) very; (not) much|1']
一	5	1	一日|ついたち|first of month|5	['一人|ひとり|one person|5', '一月|ひとつき|one month|5']
早	5	1	早い|はやい|early|5	['早速|さっそく|at once; immediately; without delay; promptly|2', '最早|もはや|already; now|1']
下	5	1	地下鉄|ちかてつ|underground train|5	['下手|へた|unskillful|5', '下|した|below|5']
右	5	1	右|みぎ|right side|5	[]
月	5	1	来月|らいげつ|next month|5	['毎月|まいげつ/まいつき|every month|5', '今月|こんげつ|this month|5']
女	5	1	女の子|おんなのこ|girl|5	['彼女|かのじょ |she; girlfriend|4', '女性|じょせい |woman|4']
子	5	1	帽子|ぼうし|hat|5	['お菓子|おかし|sweets; candy|5', '女の子|おんなのこ|girl|5']
三	5	1	三つ|みっつ|three|5	['三|さん|three|5', '三日月|みかづき|new moon; crescent moon|2']
休	5	1	夏休み|なつやすみ|summer holiday|5	['休み|やすみ|rest; holiday|5', '昼休み|ひるやすみ |noon break|4']
千	5	1	千|せん|thousand|5	[]
入	5	1	入る|はいる|to enter; to contain|5	['入口|いりぐち|entrance|5', '入院|にゅういんする |to hospitalise; hospitalisation|4']
人	5	1	二人|ふたり|two people|5	['人|ひと|person|5', '大人|おとな|adult|5']
小	5	1	小さな|ちいさな|little|5	['小説|しょうせつ |novel|4', '小学校|しょうがっこう |elementary school|4']
雨	5	1	雨|あめ|rain|5	['梅雨|ばいう|rainy season; rain during the rainy season|3', '雨戸|あまど|sliding storm door|2']
天	5	1	天気|てんき|weather|5	['天然|てんねん|nature; spontaneity|3', '天候|てんこう|weather|3']
耳	5	1	耳|みみ|ear|5	['耳鼻科|じびか|otolaryngology|1']
町	5	1	町|まち|town; city|5	[]
文	5	1	文章|ぶんしょう|sentence; text|5	['文法|ぶんぽう |grammar|4', '文学|ぶんがく |literature|4']
六	5	1	六つ|むっつ|six|5	['六|ろく|six|5', '六|む|(num) six|1']
四	5	1	四つ|よっつ|four|5	['四|し / よん|four|5', '四|よん|four|3']
校	5	1	学校|がっこう|school|5	['小学校|しょうがっこう |elementary school|4', '高校生|こうこうせい |high school student|4']
年	5	1	年|とし|year|5	['万年筆|まんねんひつ|fountain pen|5', '毎年|まいねん/まいとし|every year|5']
空	5	1	空|そら|sky|5	['空港|くうこう |airport|4', '空気|くうき |air; atmosphere|4']
花	5	1	花|はな|flower|5	['花見|はなみ |cherry|4', '花嫁|はなよめ|bride|2']
百	5	1	八百屋|やおや|greengrocer|5	['百科事典|ひゃっかじてん|encyclopedia|1', '百科辞典|ひゃっかじてん|encyclopedia|1']
八	5	1	八|はち|eight|5	['八つ|やっつ|eight|5', '八日|ようか|eight days; eighth day of the month|5']
五	5	1	五つ|いつつ|five|5	['五|ご|five|5', '五十音|ごじゅうおん|the Japanese syllabary|2']
青	5	1	青|あお|blue|5	['真っ青|まっさお|deep blue; ghastly pale|2', '青白い|あおじろい|pale; pallid|2']
金	5	1	お金|おかね|money|5	['お金持ち|おかねもち |rich|4', '貯金|ちょきん|(bank) savings|3']
二	5	1	二|に|two|5	['二十歳|はたち|20 years old; 20th year|5', '二日|ふつか|two days; second day of the month|5']
先	5	1	先生|せんせい|teacher; doctor|5	['先|さき|the future; previous|5', '先月|せんげつ|last month|5']
見	5	1	見る 観る|みる|to see; to watch|5	['拝見|はいけんする |(humble) to look at|4', '見つける|みつける |to discover|4']
男	5	1	男の子|おとこのこ|boy|5	['男性|だんせい |male|4', '男子|だんし|a boy; a man; a male|3']
本	5	1	本棚|ほんだな|bookshelves|5	['日本|にっぽん・にほん|Japan|3', '本物|ほんもの|genuine article|3']
赤	5	1	赤|あか|red|5	['真っ赤|まっか|deep red; flushed (of face)|3', '赤道|せきどう|equator|2']
手	5	1	手紙|てがみ|letter|5	['下手|へた|unskillful|5', 'お手洗い|おてあらい|bathroom|5']
大	5	1	大切|たいせつ|important|5	['大丈夫|だいじょうぶ|all right|5', '大使館|たいしかん|embassy|5']
名	5	1	名前|なまえ|name|5	['名|な|name; reputation|3', '名人|めいじん|master; expert|3']
木	5	1	木曜日|もくようび|Thursday|5	['木綿|もめん |cotton|4', '木曜/木曜日|もくよう/もくようび|Thursday|3']
音	5	1	音楽|おんがく|music|5	['音|おと |sound; note|4', '騒音|そうおん|noise|3']
中	5	1	中|なか|middle|5	['背中|せなか |back of the body|4', '中学校|ちゅうがっこう |junior high school; middle school|4']
上	5	1	上げる|あげる|to give|5	['上|うえ|on top of|5', '上手|じょうず|skillful|5']
生	5	1	誕生日|たんじょうび|birthday|5	['先生|せんせい|teacher; doctor|5', '学生|がくせい|student|5']
口	5	1	出口|でぐち|exit|5	['口|くち|mouth; opening|5', '人口|じんこう |population|4']
火	5	1	火曜日|かようび|Tuesday|5	['火事|かじ |fire|4', '火災|かさい|conflagration; fire|3']
夕	5	1	夕飯|ゆうはん|dinner|5	['夕べ|ゆうべ|evening|3', '夕日|ゆうひ|(in) the evening sun; setting sun|2']
字	5	1	字引|じびき|dictionary|5	['字|じ |character|4', '数字|すうじ|numeral; figure|3']
十	5	1	二十日|はつか|twenty days; twentieth|5	['十日|とおか|ten days; the tenth day|5', '十|じゅう とお|ten|5']
土	5	1	土曜日|どようび|Saturday|5	['土|つち|earth; soil|3', '土地|とち|plot of land; lot; soil|3']
山	5	1	山|やま|mountain|5	['火山|かざん|volcano|2', '山林|さんりん|mountain forest; mountains and forest|2']
九	5	1	九|きゅう / く|nine|5	['九つ|ここのつ|nine|5', '九|きゅう / く|nine|3']
出	5	1	出す|だす|to put out|5	['出口|でぐち|exit|5', '出かける|でかける|to go out|5']
犬	5	1	犬|いぬ|dog|5	[]
目	5	1	目|め|eye|5	['駄目|だめ|useless; no good; hopeless|3', '目的|もくてき|purpose; goal; aim; objective; intention|3']
村	5	1	村|むら|village|5	['漁村|ぎょそん|fishing village|1']
丸	5	2	丸い/円い|まるい|round; circular|5	['丸い|まるい|round; circular; spherical|3', '真ん丸い|まんまるい|perfectly circular|1']
少	5	2	少し|すこし|few|5	['少しも|すこしも|anything of; not one bit|3', '多少|たしょう|more or less; somewhat; a little; some|3']
外	5	2	外|そと|outside|5	['外国|がいこく|foreign country|5', '以外|いがい |with the exception of|4']
自	5	2	自動車|じどうしゃ|automobile|5	['自分|じぶん|oneself|5', '自由|じゆう |freedom|4']
魚	5	2	魚|さかな|fish|5	['金魚|きんぎょ|goldfish|2']
語	5	2	英語|えいご|English language|5	['物語|ものがたり|tale; story; legend|3', '語る|かたる|to talk; to tell; to recite|3']
帰	5	2	帰る|かえる|to go back|5	['帰宅|きたく|returning home|3', '日帰り|ひがえり|day trip|2']
答	5	2	答える|こたえる|to answer|5	['答案|とうあん|examination paper; examination script|3', '問答|もんどう|questions and answers; dialogue|2']
公	5	2	公園|こうえん|park|5	['公平|こうへい|fairness; impartial; justice|3', '公務|こうむ|official business; public business|2']
会	5	2	会う|あう|to meet|5	['展覧会|てんらんかい |exhibition|4', '会話|かいわ |conversation|4']
戸	5	2	戸|と|Japanese style door|5	['井戸|いど|water well|2', '雨戸|あまど|sliding storm door|2']
雪	5	2	雪|ゆき|snow|5	['雪崩|なだれ|avalanche|1']
点	5	2	交差点|こうさてん|intersection|5	['要点|ようてん|gist; main point|3', '欠点|けってん|faults; defect; weakness|3']
兄	5	2	お兄さん|おにいさん|(honorable) older brother|5	['兄弟|きょうだい|(humble) siblings|5', '従兄弟|いとこ|cousin (male)|3']
妹	5	2	妹|いもうと|(humble) younger sister|5	['従姉妹|いとこ|cousin (female)|2', '姉妹|きょうだい|sisters|1']
食	5	2	食べる|たべる|to eat|5	['食堂|しょくどう|dining hall|5', '食料品|しょくりょうひん |groceries|4']
姉	5	2	お姉さん|おねえさん|(honorable) older sister|5	['姉妹|しまい|sisters|3', '従姉妹|いとこ|cousin (female)|2']
書	5	2	葉書|はがき|postcard|5	['書く|かく|to write|5', '辞書|じしょ|dictionary|5']
夜	5	2	昨夜|ゆうべ|last night|5	['今夜|こんや |tonight|4', '徹夜|てつや|all night; all night vigil; sleepless night|3']
後	5	2	後|あと|afterwards|5	['午後|ごご|afternoon|5', '最後|さいご |last; end|4']
明	5	2	明日|あした|tomorrow|5	['説明|せつめい |explanation|4', '明日|あす / あした |tomorrow|4']
父	5	2	伯父/叔父|おじさん|uncle; middle aged gentleman|5	['伯父/叔父|おじいさん|grandfather; male senior citizen|5', '祖父|そふ |grandfather|4']
朝	5	2	毎朝|まいあさ|every morning|5	['朝御飯|あさごはん|breakfast|5', '今朝|けさ|this morning|5']
黄	5	2	黄色|きいろ|yellow|5	['黄色|おうしょく|yellow|1']
弱	5	2	弱い|よわい|weak|5	['弱まる|よわまる|to abate; to weaken; to be emaciated; to be dejected; to be perplexed|1', '弱める|よわめる|to weaken|1']
鳥	5	2	鳥|とり|bird|5	['鳥居|とりい|torii (Shinto shrine archway)|1', '渡り鳥|わたりどり|migratory bird; bird of passage|1']
冬	5	2	冬|ふゆ|winter|5	[]
作	5	2	作る|つくる|to make|5	['操作|そうさ|operation; management; processing|3', '作法|さほう|manners; etiquette; propriety|3']
色	5	2	茶色|ちゃいろ|brown|5	['黄色|きいろ|yellow|5', '景色|けしき |scene; landscape|4']
午	5	2	午後|ごご|afternoon|5	['正午|しょうご|noon; mid-day|3']
室	5	2	教室|きょうしつ|classroom|5	['研究室|けんきゅうしつ |study room; laboratory|4', '待合室|まちあいしつ|waiting room|2']
止	5	2	止まる|とまる|to come to a halt|5	['止める|やめる |to stop|4', '止む|やむ |to stop|4']
角	5	2	角|かど|a corner|5	['直角|ちょっかく|right angle|2', '街角|まちかど|street corner|2']
紙	5	2	手紙|てがみ|letter|5	['塵紙|ちりがみ|tissue paper; toilet paper|2', '表紙|ひょうし|front cover; binding|2']
池	5	2	池|いけ|pond|5	['乾電池|かんでんち|dry cell; battery|2']
絵	5	2	絵|え|picture|5	['絵の具|えのぐ|colors; paints|2', '油絵|あぶらえ|oil painting|1']
言	5	2	言う|いう|to say|5	['言う|ゆう|to say|3', '一言|ひとこと|single word|3']
何	5	2	何|なん/なに|what|5	['何でも|なんでも|by all means; everything|3', '何で|なんで|Why?; What for?|3']
新	5	2	新しい|あたらしい|new|5	['新聞社|しんぶんしゃ |newspaper company|4', '新た|あらた|new; fresh; novel|3']
高	5	2	高い|たかい|tall; expensive|5	['高等学校|こうとうがっこう |high school|4', '高校|こうこう |high school|4']
西	5	2	西|にし|west|5	['東西|とうざい|East and West; whole country|2', '西暦|せいれき|Christian Era; anno domini (A.D.)|2']
行	5	2	行く|ゆく|to go|5	['飛行機|ひこうき|aeroplane|5', '行く|いく|to go|5']
南	5	2	南|みなみ|south|5	['南極|なんきょく|south pole; Antarctic|2', '南北|なんぼく|south and north|2']
海	5	2	海|うみ|sea|5	['海外|かいがい|foreign; abroad; overseas|3', '海洋|かいよう|ocean|2']
近	5	2	近く|ちかく|near|5	['最近|さいきん |latest; nowadays|4', '近所|きんじょ |neighbourhood|4']
園	5	2	公園|こうえん|park|5	['遊園地|ゆうえんち|amusement park|2', '幼稚園|ようちえん|kindergarten|2']
昼	5	2	昼御飯|ひるごはん|midday meal|5	['昼休み|ひるやすみ |noon break|4', '昼間|ひるま |daytime; during the day|4']
電	5	2	電話|でんわ|telephone|5	['電気|でんき|electricity; electric light|5', '電報|でんぽう |telegram|4']
強	5	2	強い|つよい|powerful|5	['勉強/勉強する|べんきょう・する|study; work; to study; to sell (a thing) cheap|3', '強力|きょうりょく|herculean strength; mountain carrier-guide|3']
夏	5	2	夏休み|なつやすみ|summer holiday|5	[]
遠	5	2	遠い|とおい|far|5	['遠慮|えんりょする |to be reserved; to be restrained|4', '遠慮|えんりょ|diffidence; restraint; reserve|3']
当	5	2	お弁当|おべんとう|boxed lunch|5	['当時|とうじ|at that time; in those days|3', '相当|そうとう|suitable; fair; tolerable; proper|3']
教	5	2	教える|おしえる|to teach; to tell|5	['教会|きょうかい |church|4', '教育|きょういく |education|4']
春	5	2	春|はる|spring|5	[]
鳴	5	2	鳴く|なく|animal noise. to chirp; roar or croak etc.|5	['鳴らす|ならす|to ring; to sound; to chime; to beat; to snort (nose)|2', '怒鳴る|どなる|to shout; to yell|1']
読	5	2	読む|よむ|to read|5	['読み|よみ|reading|3', '句読点|くとうてん|punctuation marks|2']
聞	5	2	新聞|しんぶん|newspaper|5	['聞こえる|きこえる |to be heard|4', '新聞社|しんぶんしゃ |newspaper company|4']
引	5	2	引く|ひく|to pull|5	['引き出し|ひきだし |drawer; drawing out|4', '引っ越す|ひっこす |to move house|4']
計	5	2	時計|とけい|watch; clock|5	['計る|はかる|to measure; to weigh; to survey|3', '計|かたち|shape; form|3']
牛	5	2	牛乳|ぎゅうにゅう|milk|5	['牛|うし|cattle; cow|3']
画	5	2	映画館|えいがかん|cinema|5	['漫画|まんが |comic|4', '絵画|かいが|picture; paintings|3']
分	5	2	半分|はんぶん|half minute|5	['自分|じぶん|oneself|5', '大分|だいぶ |greatly|4']
前	5	2	名前|なまえ|name|5	['午前|ごぜん|morning|5', '前者|ぜんしゃ|the former|3']
道	5	2	道|みち|street|5	['水道|すいどう |water supply|4', '柔道|じゅうどう |judo|4']
台	5	2	台所|だいどころ|kitchen|5	['台|だい|stand; rack; table; support; counter for machine|3', '舞台|ぶたい|stage (theatre)|3']
古	5	2	古い|ふるい|old (not used for people)|5	['稽古|けいこ|practice; training; study|2', '古典|こてん|old book; classics; classic|2']
多	5	2	多い|おおい|many|5	['多少|たしょう|more or less; somewhat; a little; some|3', '滅多に|めったに|rarely (with neg. verb); seldom|3']
知	5	2	知る|しる|to know|5	['知能|ちのう|intelligence; brains|3', '知識|ちしき|knowledge; information|3']
北	5	2	北|きた|north|5	['北極|ほっきょく|North Pole|2']
間	5	2	時間|じかん|time|5	['間に合う|まにあう |to be in time for|4', '間違える|まちがえる |to make a mistake|4']
毎	5	2	毎晩|まいばん|every night|5	['毎日|まいにち|every day|5', '毎週|まいしゅう|every week|5']
歌	5	2	歌う|うたう|to sing|5	['歌手|かしゅ|singer|3', '歌謡|かよう|song; ballad|2']
店	5	2	店|みせ|shop|5	['店員|てんいん |shop assistant|4', '支店|してん|branch store (office)|3']
理	5	2	料理|りょうり|cuisine|5	['無理|むり |impossible|4', '理由|りゆう |reason|4']
来	5	2	来年|らいねん|next year|5	['来月|らいげつ|next month|5', 'さ来年|さらいねん|year after next|5']
週	5	2	来週|らいしゅう|next week|5	['先週|せんしゅう|last week|5', '今週|こんしゅう|this week|5']
時	5	2	時計|とけい|watch; clock|5	['時間|じかん|time|5', '時代|じだい |era|4']
図	5	2	地図|ちず|map|5	['図書|としょ|books|3', '図|ず|figure (e.g. Fig 1); drawing; picture; illustration|3']
交	5	2	交番|こうばん|police box|5	['交通|こうつう |traffic; transportation|4', '外交|がいこう|diplomacy|3']
元	5	2	元気|げんき|health; vitality|5	['元々|もともと|originally; by nature; from the start|2', '手元|てもと|on hand; at hand; at home|1']
半	5	2	半分|はんぶん|half minute|5	['半ば|なかば|middle; half; semi; halfway; partly|3', '大半|たいはん|majority; mostly; generally|3']
声	5	2	声|こえ|voice|5	['歓声|かんせい|cheer; shout of joy|1']
方	5	2	夕方|ゆうがた|evening|5	['両方|りょうほう |both sides|4', '泳ぎ方|およぎかた |way of swimming|4']
頭	5	2	頭|あたま|head|5	['先頭|せんとう|head; lead; vanguard; first|2', '頭脳|ずのう|head; brains; intellect|2']
秋	5	2	秋|あき|autumn|5	[]
同	5	2	同じ|おなじ|same|5	['同時|どうじ|simultaneous(ly); concurrent; same time; synchronous|3', '同一|どういつ|identity; sameness; similarity|3']
楽	5	2	楽しい|たのしい|enjoyable|5	['楽む|たのしむ |to enjoy oneself|4', '楽しみ|たのしみ |joy|4']
売	5	2	売る|うる|to sell|5	['販売|はんばい|sale; selling; marketing|3', '売れる|うれる|to be sold|3']
曜	5	2	日曜日|にちようび|Sunday|5	['木曜日|もくようび|Thursday|5', '火曜日|かようび|Tuesday|5']
晴	5	2	晴れる|はれる|to be sunny|5	['素晴らしい|すばらしい|wonderful; splendid; magnificent|3', '快晴|かいせい|good weather|2']
肉	5	2	肉|にく|meat|5	['豚肉|ぶたにく|pork|5', '牛肉|ぎゅうにく|beef|5']
東	5	2	東|ひがし|east|5	['東西|とうざい|East and West; whole country|2', '関東|かんとう|eastern half of Japan; including Tokyo|2']
長	5	2	長い|ながい|long|5	['課長|かちょう |section manager|4', '社長|しゃちょう |company president|4']
家	5	2	家庭|かてい|household|5	['家|いえ|house|5', '家内|かない |housewife|4']
広	5	2	広い|ひろい|spacious; wide|5	['広がる|ひろがる|to spread (out); to extend; to stretch; to reach to; to get around|3', '広告|こうこく|advertisement|3']
話	5	2	話す|はなす|to speak|5	['電話|でんわ|telephone|5', '会話|かいわ |conversation|4']
万	5	2	万年筆|まんねんひつ|fountain pen|5	['万一|まんいち|by any chance|3', '万歳|ばんざい|hurrah; cheers|2']
太	5	2	太い|ふとい|fat|5	['太陽|たいよう|sun; solar|3', '太鼓|たいこ|drum; tambourine|2']
黒	5	2	黒|くろ|black|5	['黒板|こくばん|blackboard|3', '真っ黒|まっくろ|pitch black|2']
細	5	2	細い|ほそい|thin|5	['詳細|しょうさい|detail; particulars|1', '細菌|さいきん|bacillus; bacterium; germ|1']
切	5	2	大切|たいせつ|important|5	['切符|きっぷ|ticket|5', '切手|きって|postage stamp|5']
番	5	2	番号|ばんごう|number|5	['番組|ばんぐみ |television or radio program|4', '番|ばん|counter for a number|3']
友	5	2	友達|ともだち|friend|5	['友人|ゆうじん|friend|3', '友情|ゆうじょう|friendship; fellowship|3']
歩	5	2	歩く|あるく|to walk|5	['歩道|ほどう|footpath; walkway; sidewalk|3', '散歩|さんぽ|walk; stroll|3']
親	5	2	両親|りょうしん|both parents|5	['親切|しんせつ |kindness|4', '父親|ちちおや|father|3']
地	5	2	地図|ちず|map|5	['地理|ちり |geography|4', '地震|じしん |earthquake|4']
体	5	2	体|からだ|body|5	['全体|ぜんたい|whole; entirety; whatever (is the matter)|3', '団体|だんたい|organization; association; a group|3']
社	5	2	会社|かいしゃ|company|5	['神社|じんじゃ |Shinto shrine|4', '社長|しゃちょう |company president|4']
野	5	2	野菜|やさい|vegetable|5	['分野|ぶんや|field; sphere; realm; division; branch|3', '平野|へいや|plain; open field|2']
今	5	2	今|いま|now|5	['今週|こんしゅう|this week|5', '今月|こんげつ|this month|5']
弟	5	2	弟|おとうと|younger brother|5	['従兄弟|いとこ|cousin (male)|3', '弟|おと|younger brother|1']
門	5	2	門|もん|gate|5	['部門|ぶもん|class; group; category; department; field; branch|1', '門|かど|gate|1']
茶	5	2	茶色|ちゃいろ|brown|5	['喫茶店|きっさてん|coffee lounge|5', '紅茶|こうちゃ|black tea|5']
国	5	2	外国人|がいこくじん|foreigner|5	['国|くに|country|5', '国際|こくさい |international|4']
買	5	2	買う|かう|to buy|5	['売買|ばいばい|trade; buying and selling|2', '購買|こうばい|purchase; buy|1']
母	5	2	お母さん|おかあさん|(honorable) mother|5	['祖母|そぼ |grandmother|4', '母親|ははおや|mother|3']
走	5	2	走る|はしる|to run|5	['逃走|とうそう|flight; desertion; escape|1', '走行|そうこう|running a wheeled vehicle (e.g. car); traveling|1']
風	5	2	お風呂|おふろ|bath|5	['風|かぜ|wind|5', '台風|たいふう |typhoon|4']
緑	5	3	緑|みどり|green|5	[]
安	5	3	安い|やすい|cheap|5	['安全|あんぜん |safety|4', '不安|ふあん|anxiety; uneasiness; insecurity; suspense|3']
味	5	3	意味|いみ|meaning|5	['味|あじ |flavour|4', '趣味|しゅみ |hobby|4']
仕	5	3	仕事|しごと|job|5	['仕上がる|しあがる|to be finished|2', '仕える|つかえる|to serve; to work for|1']
庫	5	3	冷蔵庫|れいぞうこ|refrigerator|5	['倉庫|そうこ|storehouse; warehouse; godown|2', '車庫|しゃこ|garage; car shed|2']
泳	5	3	泳ぐ|およぐ|to swim|5	['水泳|すいえい |swimming|4', '泳ぎ|およぎ|swimming|3']
物	5	3	荷物|にもつ|luggage|5	['食べ物|たべもの|food|5', '建物|たてもの|building|5']
医	5	3	医者|いしゃ|medical doctor|5	['医学|いがく |medical science|4', '医師|いし|doctor; physician|3']
横	5	3	横|よこ|beside; side; width|5	['横断|おうだん|crossing|3', '横綱|よこづな|sumo grand champion|1']
遊	5	3	遊ぶ|あそぶ|to play; to make a visit|5	['遊園地|ゆうえんち|amusement park|2', '遊牧|ゆうぼく|nomadism|1']
開	5	3	開ける|あける|to open|5	['開く|ひらく |to open an event|4', '開始|かいし|start; commencement; beginning|3']
起	5	3	起きる|おきる|to get up|5	['起こる|おこる|to occur; to happen|3', '起床|きしょう|rising; getting out of bed|2']
速	5	3	速い|はやい|quick|5	['急速|きゅうそく|rapid (e.g. progress)|3', '高速|こうそく|high speed; high gear|3']
持	5	3	持つ|もつ|to hold|5	['気持ち|きもち |feeling; mood|4', '持ち上げる|もちあげる|to raise; to lift up; to flatter|3']
駅	5	3	駅|えき|station|5	[]
章	5	3	文章|ぶんしょう|sentence; text|5	[]
度	5	3	もう一度|もういちど|again|5	['今度|こんど |now; next time|4', '適度|てきど|moderate|3']
動	5	3	動物|どうぶつ|animal|5	['動物園|どうぶつえん |zoo|4', '動く|うごく |to move|4']
館	5	3	大使館|たいしかん|embassy|5	['映画館|えいがかん|cinema|5', '旅館|りょかん |Japanese hotel|4']
寒	5	3	寒い|さむい|cold|5	['寒気|かんき|cold; frost; chill|1']
鼻	5	3	鼻|はな|nose|5	[]
始	5	3	初め/始め|はじめ|beginning|5	['始める|はじめる |to begin|4', '始まり|はじまり|origin; beginning|3']
悪	5	3	悪い|わるい|bad|5	['悪魔|あくま|devil; demon; evil spirit|3', '意地悪|いじわる|malicious; ill-tempered; unkind|2']
習	5	3	習う|ならう|to learn|5	['予習|よしゅう |preparation for a lesson|4', '復習|ふくしゅう |revision|4']
題	5	3	問題|もんだい|problem|5	['題|だい|title; subject; theme; topic|3', '話題|わだい|topic; subject|3']
暗	5	3	暗い|くらい|gloomy|5	['真っ暗|まっくら|total darkness; shortsightedness; pitch dark|2', '薄暗い|うすぐらい|dim; gloomy|2']
温	5	3	温い|ぬるい|luke warm|5	['気温|きおん|temperature|3', '温度|おんど|temperature|3']
写	5	3	写真|しゃしん|photograph|5	['複写|ふくしゃ|copy; duplicate|2', '写る|うつる|to be photographed; to be projected|2']
次	5	3	次|つぎ|next|5	['次第|しだい|order; precedence; circumstances; (3) immediate(ly)|3', '次ぐ|つぐ|to rank next to; to come after|2']
取	5	3	取る|とる|to take something|5	['取れる|とれる|to come off; to be taken off; to be removed|3', '取り上げる|とりあげる|to take up; to pick up; to disqualify; to confiscate; to deprive|3']
飲	5	3	飲み物|のみもの|a drink|5	['湯飲み|ゆのみ|teacup|2', '飲み込む|のみこむ|to gulp down; to swallow deeply; to understand; to take in; to catch on to; to learn; to digest|1']
庭	5	3	庭|にわ|garden|5	['校庭|こうてい|campus|2']
階	5	3	階段|かいだん|stairs|5	['段階|だんかい|gradation; grade; stage|2', '階|かい|-floor (counter); stories|1']
薬	5	3	薬|くすり|medicine|5	['薬缶|やかん|kettle|2', '薬局|やっきょく|pharmacy; drugstore|2']
酒	5	3	お酒|おさけ|alcohol; rice wine|5	['酒場|さかば|bar; bar-room|2']
意	5	3	意味|いみ|meaning|5	['用意|ようい |preparation|4', '意見|いけん |opinion|4']
有	5	3	有名|ゆうめい|famous|5	['有能|ゆうのう|able; capable; efficient; skill|3', '有効|ゆうこう|validity; availability; effectiveness|3']
服	5	3	洋服|ようふく|western-style clothes|5	['服装|ふくそう|dress; clothes|3', '衣服|いふく|clothes|3']
者	5	3	医者|いしゃ|medical doctor|5	['著者|ちょしゃ|author; writer|3', '前者|ぜんしゃ|the former|3']
漢	5	3	漢字|かんじ|Chinese character|5	['漢語|かんご|Chinese word; Sino-Japanese word|1']
所	5	3	台所|だいどころ|kitchen|5	['場所|ばしょ |location|4', '住所|じゅうしょ |an address; a residence|4']
旅	5	3	旅行|りょこう|travel|5	['旅|たび|travel; trip; journey|3', '旅客|りょかく|passenger (transport)|1']
全	5	3	全部|ぜんぶ|all|5	['全国|ぜんこく|country-wide; nation-wide; whole country; national|3', '全員|ぜんいん|all members (unanimity); all hands; the whole crew|3']
屋	5	3	八百屋|やおや|greengrocer|5	['屋上|おくじょう |rooftop|4', '屋根|やね|roof|3']
筆	5	3	万年筆|まんねんひつ|fountain pen|5	['筆|ふで|writing brush|3', '筆者|ひっしゃ|writer; author|2']
宿	5	3	宿題|しゅくだい|homework|5	['宿|やど|inn; lodging|3', '宿泊|しゅくはく|lodging|3']
局	5	3	郵便局|ゆうびんきょく|post office|5	['結局|けっきょく|after all; eventually|3', '薬局|やっきょく|pharmacy; drugstore|2']
箱	5	3	箱|はこ|box|5	[]
着	5	3	着く|つく|to arrive at|5	['着る|きる|to put on from the shoulders down|5', '下着|したぎ |underwear|4']
勉	5	3	勉強|べんきょうする|to study|5	['勤勉|きんべん|industry; diligence|1']
向	5	3	向こう|むこう|over there|5	['向ける|むける|to turn towards; to point|3', '向く|むく|to face|3']
暑	5	3	暑い|あつい|hot|5	[]
歯	5	3	歯|は|tooth|5	['虫歯|むしば|cavity; tooth decay; decayed tooth; caries|3', '歯車|はぐるま|gear; cog-wheel|2']
重	5	3	重い|おもい|heavy|5	['貴重|きちょう|precious; valuable|3', '重要|じゅうよう|important; momentous; essential; principal; major|3']
登	5	3	登る|のぼる|to climb|5	['登場|とうじょう|entry (on stage)|2', '登録|とうろく|registration; register; entry; record|1']
皿	5	3	灰皿|はいざら|ashtray|5	['皿|さら|plate; dish|3', '灰皿|はいさら|ashtray|1']
問	5	3	問題|もんだい|problem|5	['問い|とい|question; query|3', '訪問|ほうもん|call; visit|3']
軽	5	3	軽い|かるい|light|5	['気軽|きがる|cheerful; buoyant; lighthearted|1', '軽蔑|けいべつ|scorn; disdain|1']
院	5	3	病院|びょういん|hospital|5	['退院|たいいんする |to leave hospital|4', '退院|たいいん|leaving hospital|2']
葉	5	3	葉書|はがき|postcard|5	['葉|は |leaf|4', '紅葉|もみじ|(Japanese) maple|2']
去	5	3	去年|きょねん|last year|5	['去る|さる|to leave; to go away|3', '消去|しょうきょ|elimination; erasing; dying out; melting away|1']
業	5	3	授業|じゅぎょう|lesson; class work|5	['産業|さんぎょう |industry|4', '工業|こうぎょう |the manufacturing industry|4']
終	5	3	終る|おわる|to finish|5	['終える|おえる|to finish|3', '最終|さいしゅう|last; final; closing|3']
