kanji	JLPT	grade	example1	other examples
彫	2	S	彫刻|ちょうこく|carving; engraving; sculpture|2	[]
湿	2	S	湿る|しめる|to be wet; to become wet; to be damp|2	['湿気|しっき|moisture; humidity; dampness|2', '湿気|しっけ|moisture; humidity; dampness|2']
枯	2	S	枯れる|かれる|to wither; to die (plant); to be blasted (plant)|2	[]
姓	2	S	姓|せい|surname; family name|2	[]
唇	2	S	唇|くちびる|lips|2	[]
蚊	2	S	蚊|か|mosquito|2	[]
砲	2	S	鉄砲|てっぽう|gun|2	[]
堀	2	S	堀|ほり|moat; canal|2	[]
噴	2	S	噴火|ふんか|eruption|2	['噴出|ふんしゅつ|spewing; gushing; spouting; eruption; effusion|1']
寿	2	S	寿命|じゅみょう|life span|2	[]
粋	2	S	純粋|じゅんすい|pure; true; genuine; unmixed|2	[]
酌	2	S	酌む|くむ|to serve sake|2	[]
憧	2	S	憧れる|あこがれる|to long for; to yearn after; to admire|2	[]
幣	2	S	紙幣|しへい|paper money; notes; bills|2	[]
井	2	S	井戸|いど|water well|2	['伊井|いい|that one; Italy|1']
巾	2	S	雑巾|ぞうきん|house-cloth; dust cloth|2	[]
恨	2	S	恨み|うらみ|resentment|2	[]
礎	2	S	基礎|きそ|foundation; basis|2	[]
湧	2	S	湧く|わく|to boil; to grow hot; to get excited; to gush forth|2	[]
岬	2	S	岬|みさき|cape (on coast)|2	[]
濁	2	S	濁る|にごる|to become muddy; to get impure|2	[]
矛	2	S	矛盾|むじゅん|contradiction; inconsistency|2	[]
肘	2	S	肘|ひじ|elbow|2	[]
碁	2	S	碁|ご|Go (board game of capturing territory)|2	[]
遭	2	S	遭う|あう|to meet; to encounter (undesirable nuance)|2	[]
垣	2	S	垣根|かきね|hedge|2	[]
拭	2	S	手拭い|てぬぐい|(hand) towel|2	[]
絞	2	S	絞る|しぼる|to press; to wring; to squeeze|2	[]
弓	1	2	弓|ゆみ|bow (and arrow)|1	[]
里	1	2	郷里|きょうり|birth-place; home town|1	[]
宮	1	3	お宮|おみや|Shinto shrine|1	[]
兆	1	4	兆し|きざし|signs; omen; symptoms|1	[]
腸	1	4	腸|ちょう|guts; bowels; intestines|1	[]
唱	1	4	唱える|となえる|to recite; to chant; to call upon|1	[]
俵	1	5	土俵|どひょう|arena|1	[]
肥	1	5	肥料|ひりょう|manure; fertilizer|1	[]
賀	1	5	祝賀|しゅくが|celebration; congratulations|1	[]
聖	1	6	聖書|せいしょ|Bible; scriptures|1	[]
遺	1	6	遺跡|いせき|historic ruins (remains relics)|1	[]
鋼	1	6	鉄鋼|てっこう|iron and steel|1	[]
樹	1	6	樹立|じゅりつ|establish; create|1	[]
班	1	6	班|はん|group; party; section (mil)|1	[]
潮	1	6	潮|うしお|tide|1	[]
奮	1	6	奮闘|ふんとう|hard struggle; strenuous effort|1	[]
忠	1	6	忠告|ちゅうこく|advice; warning|1	[]
沿	1	6	沿う|そう|to run along; to follow|1	['沿岸|えんがん|coast; shore|1', '沿線|えんせん|along railway line|1']
閣	1	6	内閣|ないかく|cabinet; (government) ministry|1	[]
冊	1	6	冊|さつ|counter for books|1	[]
諸	1	6	諸|しょ|various; many; several|1	[]
誠	1	6	誠実|せいじつ|sincere; honest; faithful|1	[]
肺	1	6	肺|はい|lung|1	[]
己	1	6	自己|じこ|self; oneself|1	[]
盟	1	6	同盟|どうめい|alliance; union; league|1	[]
滲	1	EXTRA	滲む|にじむ|to run; to blur; to spread; to blot; to ooze|1	[]
嗇	1	EXTRA	吝嗇|けち|stinginess; miser; miserliness; skinflint; tightwad; niggard; pinching pennies|1	[]
嵩	1	EXTRA	嵩張る|かさばる|to be bulky; to be unwieldy; to grow voluminous|1	[]
謂	1	EXTRA	所謂|いわゆる|the so-called; so to speak|1	[]
辻	1	EXTRA	辻褄|つじつま|coherence; consistency|1	[]
吃	1	EXTRA	吃驚|びっくり|be surprised; be amazed; be frightened; astonishment|1	[]
溢	1	EXTRA	溢れる|あふれる|to flood; to overflow; to brim over|1	[]
禄	1	EXTRA	貫禄|かんろく|presence; dignity|1	[]
嘴	1	EXTRA	嘴|くちばし|beak; bill|1	[]
拗	1	EXTRA	拗れる|こじれる|to get complicated; to grow worse|1	[]
痺	1	EXTRA	麻痺|まひ|paralysis; palsy; numbness; stupor|1	[]
蕩	1	EXTRA	蕩ける|とろける|to be enchanted with|1	[]
脹	1	EXTRA	膨脹|ぼうちょう|expansion; swelling; increase; growth|1	[]
碌	1	EXTRA	碌な|ろくな|satisfactory; decent|1	[]
屹	1	EXTRA	屹度|きっと|1. (uk) surely; undoubtedly; certainly; without fail; 2. sternly; severely|1	[]
捧	1	EXTRA	捧げる|ささげる|to lift up; to give; to offer; to consecrate; to devote; to sacrifice; to dedicate|1	[]
腿	1	EXTRA	腿|もも|thigh; femur|1	[]
毯	1	EXTRA	絨毯|じゅうたん|carpet|1	[]
董	1	EXTRA	骨董品|こっとうひん|curio|1	[]
擽	1	EXTRA	擽ぐったい|くすぐったい|ticklish|1	[]
褸	1	EXTRA	藍褸|ぼろ|rag; scrap; tattered clothes; fault (esp. in a pretense); defect; run-down or junky|1	[]
褓	1	EXTRA	お襁褓|おむつ|diaper; nappy|1	[]
躇	1	EXTRA	躊躇う|ためらう|to hesitate|1	[]
笥	1	EXTRA	箪笥|たんす|chest of drawers|1	[]
儘	1	EXTRA	其の儘|そのまま|without change; as it is (i.e. now)|1	[]
些	1	EXTRA	些とも|ちっとも|not at all (neg. verb)|1	[]
籤	1	EXTRA	籤引|くじびき|lottery; drawn lot|1	[]
嗽	1	EXTRA	含嗽|うがい|gargle; rinse mouth|1	[]
諄	1	EXTRA	諄い|くどい|verbose; importunate; heavy (taste)|1	[]
垢	1	EXTRA	垢|あか|dirt; filth|1	[]
屡	1	EXTRA	屡|しばしば|often; again and again; frequently|1	[]
絨	1	EXTRA	絨毯|じゅうたん|carpet|1	[]
伊	1	EXTRA	伊井|いい|that one; Italy|1	[]
辿	1	EXTRA	辿り着く|たどりつく|to grope along to; to struggle on to; to arrive somewhere after a struggle|1	[]
癌	1	EXTRA	癌|がん|cancer|1	[]
捗	1	EXTRA	捗る|はかどる|to make progress; to move right ahead (with the work); to advance|1	[]
凌	1	EXTRA	凌ぐ|しのぐ|to outdo; to surpass; to endure; to keep out (rain); to stave off; to tide over; to pull through; to defy; t|1	[]
吝	1	EXTRA	吝嗇|けち|stinginess; miser; miserliness; skinflint; tightwad; niggard; pinching pennies|1	[]
喋	1	EXTRA	お喋り|おしゃべり|chattering; talk; idle talk; chat; chitchat; gossip; chatty; talkative; chatterbox; blabbermouth|1	[]
拵	1	EXTRA	拵える|こしらえる|to make; to manufacture|1	[]
雫	1	EXTRA	雫|しずく|drop (of water)|1	[]
杖	1	EXTRA	杖|つえ|cane|1	[]
鋏	1	EXTRA	鋏|はさみ|scissors|1	[]
箪	1	EXTRA	箪笥|たんす|chest of drawers|1	[]
唸	1	EXTRA	唸る|うなる|to groan; to moan; to roar; to howl; to growl; to hum; to buzz; to sough|1	[]
齎	1	EXTRA	齎らす|もたらす|to bring; to take; to bring about|1	[]
臥	1	EXTRA	草臥れる|くたびれる|to get tired; to wear out|1	[]
騙	1	EXTRA	騙す|だます|to trick; to cheat; to deceive|1	[]
愈	1	EXTRA	愈々|いよいよ|more and more; all the more; increasingly; at last; beyond doubt|1	[]
呟	1	EXTRA	呟く|つぶやく|to mutter; to murmur|1	[]
梢	1	EXTRA	梢|こずえ|treetop|1	[]
屎	1	EXTRA	屎尿|しにょう|excreta; raw sewage; human waste; night soil|1	[]
厭	1	EXTRA	厭々|いやいや|unwillingly; grudgingly; shaking head in refusal (to children)|1	[]
殆	1	EXTRA	殆ど|ほとんど|mostly; almost|1	[]
燵	1	EXTRA	火燵|こたつ|table with heater; (orig) charcoal brazier in a floor well|1	[]
檻	1	EXTRA	檻|おり|cage; pen; jail cell|1	[]
夥	1	EXTRA	夥しい|おびただしい|abundantly; innumerably|1	[]
抓	1	EXTRA	抓る|つねる|to pinch|1	[]
此	1	EXTRA	彼此|あれこれ|one thing or another; this and that; this or that|1	['彼方此方|あちらこちら|here and there|1', '此れ等|これら|these|1']
冴	1	EXTRA	冴える|さえる|to be clear; to be serene; to be cold; to be skillful|1	[]
炒	1	EXTRA	炒める|いためる|to stir-fry|1	[]
弛	1	EXTRA	弛み|たるみ|slack; slackening; dullness; letdown|1	[]
歪	1	EXTRA	歪む|いがむ|to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perv|1	[]
皺	1	EXTRA	皺|しわ|wrinkles; creases|1	[]
槌	1	EXTRA	金槌|かなづち|1. (iron) hammer; 2. punishment|1	[]
粥	1	EXTRA	粥|かゆ|(rice) gruel|1	[]
蝶	1	EXTRA	蝶|ちょう|butterfly|1	[]
卯	1	EXTRA	卯|ぼう|fourth sign of Chinese zodiac (The Hare 5am-7am east February)|1	[]
毟	1	EXTRA	毟る|むしる|to pluck; to pick; to tear|1	[]
皰	1	EXTRA	面皰|にきび|pimple; acne|1	[]
凭	1	EXTRA	凭れる|もたれる|to lean against; to lean on; to recline on; to lie heavy (on the stomach)|1	[]
脆	1	EXTRA	脆い|もろい|brittle; fragile; tender-hearted|1	[]
躾	1	EXTRA	躾|しつけ|home discipline; training; upbringing; breeding|1	[]
貶	1	EXTRA	貶す|けなす|to speak ill of|1	[]
蕾	1	EXTRA	蕾|つぼみ|bud; flower bud|1	[]
躓	1	EXTRA	躓く|つまずく|to stumble; to trip|1	[]
饂	1	EXTRA	饂飩|うどん|noodles (Japanese)|1	[]
跨	1	EXTRA	跨がる|またがる|to extend over or into; to straddle|1	[]
嫋	1	EXTRA	嫋か|しなやか|supple; flexible; elastic|1	[]
茹	1	EXTRA	茹でる|ゆでる|to boil|1	[]
遥	1	EXTRA	遥か|はるか|far; far-away; distant; remote; far off|1	[]
筈	1	EXTRA	手筈|てはず|arrangement; plan; programme|1	[]
聳	1	EXTRA	聳える|そびえる|to rise; to tower; to soar|1	[]
桐	1	EXTRA	桐|きり|paulownia tree|1	[]
咄	1	EXTRA	咄嗟|とっさ|moment; instant|1	[]
婉	1	EXTRA	婉曲|えんきょく|euphemistic; circumlocution; roundabout; indirect; insinuating|1	[]
贋	1	EXTRA	贋物|がんぶつ|imitation; counterfeit; forgery; sham|1	[]
嗜	1	EXTRA	嗜好|しこう|taste; liking; preference|1	[]
軈	1	EXTRA	軈て|やがて|before long; soon; at length|1	[]
捲	1	EXTRA	捲る|まくる|verb suffix to indicate reckless abandon to the activity|1	[]
咎	1	EXTRA	咎める|とがめる|to blame; to find fault; to take someone to task; to aggravate (an injury)|1	[]
甥	1	EXTRA	甥|おい|nephew|1	[]
蝿	1	EXTRA	五月蝿い|うるさい|noisy; loud; fussy|1	[]
填	1	EXTRA	填まる|はまる|to get into; to go into; to fit; to be fit for; to suit; to fall into; to plunge into; to be deceived; to be|1	[]
踵	1	EXTRA	踵|かかと|(shoe) heel|1	[]
葦	1	EXTRA	葦|よし|reed; bulrush|1	[]
痒	1	EXTRA	痒い|かゆい|itchy; itching|1	[]
鋸	1	EXTRA	鋸|のこぎり|saw|1	[]
